Name,Description
VAL_23-ESDV-92501A-PST:VALUE,PH
VAL_23-ESDV-92501B-PST:VALUE,PH
VAL_23-ESDV-92521-PST:VALUE,PH
VAL_23-ESDV-92551A-PST:VALUE,PH
VAL_23-ESDV-92551B-PST:VALUE,PH
VAL_23-FE-9106-39:X.Value,PH 1st Stg Lube Oil Heater Running
,
VAL_23-FE-9106-H01:Z.Y.Value,PH 1stStgComp OIL HEATER
VAL_23-FE-9122-39:X.Value,PH 1st Stg Seal Gas Heater Running
,
VAL_23-FE-9122-H01-F:Z.Y.Value,PH 1stStg Seal Gas Heater
VAL_23-FI-92512A:X.Value,PH 1stStgSuctCool Gas In (Norm)
VAL_23-FI-92512B:X.Value,PH 1stStgSuctCool Gas In (Std)
VAL_23-FT-92512:X.Value,PH 1stStgSuctCool Gas In
VAL_23-FT-92521:X.Value,PH 1stStgSuctScrubber Liq Out
VAL_23-FT-92537-01:X.Value,PH 1stStgComp Discharge
VAL_23-FT-96151:X.Value,PH 1stStg Comp Inner Seal DE
VAL_23-FT-96152:X.Value,PH 1stStg Comp Inner Seal NDE
VAL_23-FT-96158:X.Value,PH 1stStg Comp Buffer Gas DE
VAL_23-FT-96159:X.Value,PH 1stStg Comp Buffer Gas NDE
VAL_23-FZSL-92542:X.Value,PH 1st Stg Comp HGB Closed
,
VAL_23-GK-9107A-M01:Z.Y.Value,PH 1stStg Comp Encl Cooling UnitA
,
VAL_23-GK-9107B-M01:Z.Y.Value,PH 1stStg Comp Encl Cooling UnitB
VAL_23-KA-9101-M01-36A:X.Value,PH Common Trip
VAL_23-KA-9101-M01-39A:X.Value,PH 1st Stg Mtr RUNNING
VAL_23-KA-9101-M01-39B:X.Value,PH 1st Stage Compressor Motor Running
VAL_23-KA-9101-M01-62B:X.Value,PH HV SWGR 1stStg Comp Mtr
,
,
,
,
,
,
,
VAL_23-KA-9101-M01:Z.Y.Value,PH 1stStg Comp Driving Mtr
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
VAL_23-KA-9101_APE:VALUE,PH (CBM) 1st Stage ActCompr Poly Eff
VAL_23-KA-9101_APH:VALUE,PH (CBM) 1st Stg ActCompr Poly Head
VAL_23-KA-9101_APR:VALUE,PH (CBM) 1st Stage ActPress Ratio
VAL_23-KA-9101_ASP:VALUE,PH (CBM) 1st Stage ActShaft Power
VAL_23-KA-9101_EPE:VALUE,PH (CBM) 1st Stage ExpCompr Poly Eff
VAL_23-KA-9101_EPH:VALUE,PH (CBM) 1st Stg ExpCompr Poly Head
VAL_23-KA-9101_EPR:VALUE,PH (CBM) 1st Stage ExpPress Ratio
VAL_23-KA-9101_ESP:VALUE,PH (CBM) 1st Stage ExpShaft Power
VAL_23-KA-9101_PED:VALUE,PH (CBM) 1st Stage Poly Eff Dev
VAL_23-KA-9101_PHD:VALUE,PH (CBM) 1st Stage Poly Head Dev
VAL_23-KA-9101_PRD:VALUE,PH (CBM) 1st Stage Press Rat Dev
VAL_23-KA-9101_SPD:VALUE,PH (CBM) 1st Stage Shft Pwr Dev
,
,
,
,
,
,
,
VAL_23-LIC-92521:Z.X.Value,PH 1stStgSuctScrubber Level Measured Value
VAL_23-LIC-92521:Z.Y.Value,PH 1stStgSuctScrubber Level Output
VAL_23-LT-92523:Z.X1.Value,PH 1stStgSuctScrubber
VAL_23-LT-92523:Z.X2.Value,PH 1stStgSuctScrubber
VAL_23-LT-92529-02:X.Value,PH 1stStgScrub I-face TopLiq
VAL_23-LT-92529-03:X.Value,PH 1stStgScrub I-face TopFoam
VAL_23-LT-96182-03:X.Value,PH 1stStg Lube Oil Reservoir
VAL_23-LT-96182:Z.X1.Value,PH 1st Stg Oil Reservoir
VAL_23-LT-96182:Z.X2.Value,PH 1st Stg Oil Reservoir
VAL_23-LV-92521A:Y.Value,PH 1stStgSuctScrubber Level
VAL_23-LV-92521B:Y.Value,PH 1stStgSuctScrubber Level
VAL_23-LY-92529_Alarms_PNTA:VALUE,PH (Profiler) Number of Active Tube Alarms
VAL_23-LY-92529_DensityBands_01gasLL:VALUE,PH (Profiler) Density Band 6 Lower Limit (GAS)
VAL_23-LY-92529_DensityBands_01gasUL:VALUE,PH (Profiler) Density Band 6 Upper Limit (GAS)
VAL_23-LY-92529_DensityBands_02foamLL:VALUE,PH (Profiler) Density Band 5 Lower Limit (FOAM)
VAL_23-LY-92529_DensityBands_02foamUL:VALUE,PH (Profiler) Density Band 5 Upper Limit (FOAM)
VAL_23-LY-92529_DensityBands_03oilLL:VALUE,PH (Profiler) Density Band 4 Lower Limit (OIL)
